"","dyadid","year","f_a","f_b","f_c","f_d","f_e","f_f","fm_a","fm_b","fm_c","fm_d","fm_e","fm_f","m_a","m_b","m_c","m_d","m_e","m_f","mm_a","mm_b","mm_c","mm_d","mm_e","mm_f","t_a","t_b","t_c","t_d","t_e","t_f","tm_a","tm_b","tm_c","tm_d","tm_e","tm_f"
"37",2,2008,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,7
"38",2,2009,0,0,0,0,1,9,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,27,0,0,0,0,1,14
"39",2,2010,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,17
"40",2,2011,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,3
"41",2,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"42",2,2013,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"43",3,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,6
"44",3,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",3,1994,5,5,5,5,12,20,1,1,1,1,4,4,1,1,1,1,4,7,1,1,1,1,3,3,9,9,9,9,20,32,3,3,3,3,8,9
"46",3,1995,13,13,13,13,15,33,9,9,9,9,9,24,7,7,7,7,8,16,7,7,7,7,7,13,20,20,20,20,22,53,14,14,14,14,14,36
"47",3,1996,3,3,3,3,5,5,3,3,3,3,4,4,1,1,1,1,3,3,1,1,1,1,2,2,4,4,4,4,6,86,3,3,3,3,4,61
"48",3,1997,9,9,9,9,79,258,8,8,8,8,50,185,9,9,9,9,67,205,8,8,8,8,42,151,9,9,9,9,87,288,8,8,8,8,55,209
"49",3,1998,0,0,0,0,14,14,0,0,0,0,13,13,0,0,0,0,5,5,0,0,0,0,4,4,20,20,20,20,52,136,20,20,20,20,47,117
"50",3,1999,4,4,4,4,33,58,4,4,4,4,29,53,3,3,3,3,15,28,3,3,3,3,13,26,5,5,5,5,40,70,5,5,5,5,34,62
"51",3,2000,9,9,9,9,36,36,9,9,9,9,28,28,5,5,5,5,22,22,5,5,5,5,18,18,9,9,9,9,41,72,9,9,9,9,30,59
"52",3,2001,15,15,15,15,30,64,13,13,13,13,24,54,13,13,13,13,28,54,11,11,11,11,22,46,15,15,15,15,31,69,13,13,13,13,25,59
"53",3,2002,0,0,0,0,26,43,0,0,0,0,22,38,0,0,0,0,13,24,0,0,0,0,10,21,26,26,26,26,58,82,23,23,23,23,50,72
"54",3,2003,9,9,9,9,13,15,6,6,6,6,8,10,6,6,6,6,7,8,3,3,3,3,4,5,9,9,9,9,15,17,6,6,6,6,10,12
"55",3,2004,2,2,2,2,6,9,2,2,2,2,5,8,2,2,2,2,4,7,2,2,2,2,3,6,2,2,2,2,9,12,2,2,2,2,7,10
"56",3,2005,3,3,3,3,13,15,2,2,2,2,10,11,1,1,1,1,2,3,1,1,1,1,2,3,3,3,3,3,18,20,2,2,2,2,12,13
"57",3,2006,1,1,1,1,1,3,1,1,1,1,5,7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,20,25,1,1,1,1,14,17
"58",3,2007,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,0,0,12,12
"59",3,2008,0,0,0,0,5,9,0,0,0,0,5,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,21,0,0,0,0,8,15
"60",4,1998,0,0,0,0,14,14,0,0,0,0,13,13,0,0,0,0,5,5,0,0,0,0,4,4,0,0,0,0,32,116,0,0,0,0,27,97
"61",4,1999,4,4,4,4,33,58,3,3,3,3,28,52,1,1,1,1,13,26,1,1,1,1,11,24,4,4,4,4,39,69,3,3,3,3,32,60
"62",4,2000,4,4,4,4,31,31,3,3,3,3,22,22,1,1,1,1,18,18,1,1,1,1,14,14,5,5,5,5,37,68,3,3,3,3,24,53
"63",4,2001,6,6,6,6,21,55,4,4,4,4,15,45,3,3,3,3,18,44,2,2,2,2,13,37,6,6,6,6,22,60,4,4,4,4,16,50
"64",4,2002,3,3,3,3,29,46,2,2,2,2,24,40,1,1,1,1,14,25,1,1,1,1,11,22,6,6,6,6,38,62,3,3,3,3,30,52
"65",4,2003,2,2,2,2,6,8,2,2,2,2,4,6,0,0,0,0,1,2,0,0,0,0,1,2,11,11,11,11,17,19,9,9,9,9,13,15
"66",4,2004,5,5,5,5,9,12,2,2,2,2,5,8,1,1,1,1,3,6,1,1,1,1,2,5,7,7,7,7,14,17,3,3,3,3,8,11
"67",4,2005,0,0,0,0,10,12,6,6,6,6,14,15,0,0,0,0,1,2,1,1,1,1,2,3,11,11,11,11,26,28,6,6,6,6,16,17
"68",4,2006,0,0,0,0,0,2,6,6,6,6,10,12,0,0,0,0,0,0,4,4,4,4,5,5,22,22,22,22,41,46,10,10,10,10,23,26
"69",4,2007,3,3,3,3,4,5,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,13,13,13,13,30,33,8,8,8,8,20,20
"70",4,2008,8,8,8,8,13,17,5,5,5,5,10,14,1,1,1,1,1,2,0,0,0,0,0,1,14,14,14,15,26,36,6,6,6,6,14,21
"71",4,2009,9,9,9,9,11,19,3,3,3,3,4,7,4,4,4,4,5,5,0,0,0,0,1,1,12,12,12,12,14,41,4,4,4,4,5,19
"72",4,2010,2,3,3,3,4,13,2,2,2,2,3,7,0,0,0,0,0,1,0,0,0,0,0,1,3,4,4,4,5,35,2,2,2,2,3,20
"73",4,2011,0,0,0,0,0,3,1,1,1,1,1,4,0,0,0,0,0,2,1,1,1,1,1,3,5,5,5,5,5,9,2,2,2,2,2,5
"74",4,2012,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,0,0,2
"75",4,2013,2,2,2,3,3,4,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,3,3,3,4,4,5,2,2,2,2,2,3
"76",7,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",7,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",7,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",7,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
"80",7,1979,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"81",7,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",7,1981,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"83",7,1982,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
"84",7,1983,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2
"85",7,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,8,2,2,2,2,2,3
"86",7,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0
"87",7,1986,3,3,3,3,4,4,1,1,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,4,4,4,4,5,5,2,2,2,2,2,2
"88",7,1987,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89",7,1988,5,5,5,5,5,6,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,7,7,7,7,7,9,4,4,4,4,4,6
"90",7,1989,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,10,5,5,5,5,5,5
"91",7,1990,8,8,8,8,8,8,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,189,189,189,189,189,194,27,27,27,27,27,30
"92",7,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,10,5,5,5,5,5,6
"93",7,1992,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4,4,4,7,3,3,3,3,3,4
"94",7,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",7,1994,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0
"96",7,1995,3,3,3,3,3,5,1,1,1,1,1,3,3,3,3,3,3,5,1,1,1,1,1,3,4,4,4,4,4,6,1,1,1,1,1,3
"97",7,1996,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
"98",7,1997,2,2,2,2,4,6,1,1,1,1,3,3,2,2,2,2,3,3,1,1,1,1,2,2,2,2,2,2,4,6,1,1,1,1,3,3
"99",7,1998,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,12,12,12,12,13,6,6,6,6,6,7
"100",7,1999,17,17,17,17,17,18,13,13,13,13,13,14,11,11,11,11,11,12,9,9,9,9,9,10,27,27,27,27,27,28,19,19,19,19,19,20
"101",7,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,41,27,27,27,27,27,27
"102",7,2001,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,1,5,29,29,29,29,30,36,22,22,22,22,23,27
"103",7,2002,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,6,6,6,6,6,6,4,4,4,4,4,4
"104",7,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",7,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",7,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",7,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",7,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",11,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",11,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",11,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",11,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",11,1995,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"114",11,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",11,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",11,1998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117",11,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",11,2000,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"119",11,2001,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
"120",11,2002,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3
"121",11,2003,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,4,4,4,4,4
"122",11,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
"123",11,2005,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
"124",11,2006,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2
"125",11,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",11,2008,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"127",12,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7
"128",12,1995,0,0,0,0,12,12,0,0,0,0,10,10,0,0,0,0,11,11,0,0,0,0,9,9,0,0,0,0,13,41,0,0,0,0,11,34
